proximity_mode,average_degree,mean_shortest_path,num_nodes,dim,S,S_general,S_smallworld_general,mean_shortest_path_prediction,msp_prediction_error,relative_msp_prediction_error,intended_size,false_edge_number
lattice,3.72,4.815510204081632,50,2,0.6810159840358275,1.313496062539095,1.6171299916161586,13.436577870671679,8.621067666590047,1.7902708749911524,50,0
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,13.436577870671679,8.743516646181883,1.8630732112667954,50,0
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,13.436577870671679,8.743516646181883,1.8630732112667954,50,0
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,13.436577870671679,8.743516646181883,1.8630732112667954,50,0
lattice,3.44,4.564081632653061,50,2,0.6454586144675898,1.197147389040734,1.4414006876729504,13.436577870671679,8.872496238018616,1.9439828101543204,50,0
lattice,3.24,4.811428571428571,50,2,0.6804387540103691,1.2247897572186643,1.4458470972643223,13.436577870671679,8.625149299243107,1.7926379184887693,50,0
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,13.436577870671679,8.743516646181883,1.8630732112667954,50,0
lattice,3.2,4.81469387755102,50,2,0.6809005380307359,1.2180319111623248,1.4315394042594631,13.436577870671679,8.621883993120658,1.7907439626267898,50,0
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,13.436577870671679,8.743516646181883,1.8630732112667954,50,0
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,13.436577870671679,8.743516646181883,1.8630732112667954,50,0
lattice,3.44,6.9640404040404045,100,2,0.6964040404040405,1.2916370778857693,1.8683073365985643,13.436577870671679,6.472537466631274,0.9294227332276863,100,0
lattice,3.46,6.652323232323233,100,2,0.6652323232323233,1.2374036495019871,1.7930542279946808,13.436577870671679,6.784254638348446,1.0198323805710712,100,0
lattice,3.44,6.9640404040404045,100,2,0.6964040404040405,1.2916370778857693,1.8683073365985643,13.436577870671679,6.472537466631274,0.9294227332276863,100,0
lattice,3.5,6.606868686868687,100,2,0.6606868686868687,1.2360319512833837,1.79729306287186,13.436577870671679,6.829709183802992,1.0337286099506118,100,0
lattice,3.68,6.697575757575757,100,2,0.6697575757575758,1.2848177979182756,1.8949043164124373,13.436577870671679,6.739002113095921,1.0061852761386545,100,0
lattice,3.64,6.51010101010101,100,2,0.651010101010101,1.242048111743882,1.826413342231397,13.436577870671679,6.926476860570668,1.0639584316470072,100,0
lattice,3.76,6.812929292929293,100,2,0.6812929292929293,1.3210760041334,1.9593570588222664,13.436577870671679,6.623648577742386,0.9722174255670979,100,0
lattice,3.64,6.628686868686868,100,2,0.6628686868686868,1.2646728515916292,1.8596826868982652,13.436577870671679,6.80789100198481,1.0270346354938684,100,0
lattice,3.7,6.716161616161616,100,2,0.6716161616161617,1.2918794810712404,1.908067304707803,13.436577870671679,6.720416254510062,1.0006334925500018,100,0
lattice,3.78,6.560808080808081,100,2,0.656080808080808,1.2755668783120828,1.894406433486235,13.436577870671679,6.875769789863598,1.0480065420564357,100,0
