proximity_mode,average_degree,mean_shortest_path,num_nodes,dim,S,S_general,S_smallworld_general,mean_shortest_path_prediction,msp_prediction_error,relative_msp_prediction_error,intended_size,false_edge_number
experimental,2.04,4.790204081632653,50,2,0.6774371578779854,0.9675737955642231,0.8729946308733061,7.175376890418584,2.3851728087859314,0.497927179748256,50,0
experimental,2.04,4.711836734693877,50,2,0.6663543413891839,0.951744367415933,0.8587125101228226,7.175376890418584,2.463540155724707,0.5228407295153787,50,0
experimental,2.2,4.835102040816326,50,2,0.6837866881580279,1.0142195604427442,0.9745013735615053,7.175376890418584,2.340274849602258,0.48401767529339285,50,0
experimental,2.2,4.481632653061224,50,2,0.6337985679533299,0.9400751961557766,0.9032606011907249,7.175376890418584,2.69374423735736,0.6010631495014147,50,0
experimental,2.32,5.2726530612244895,50,2,0.745665746887169,1.135764228221445,1.1342703740840359,7.175376890418584,1.9027238291940947,0.36086649493153217,50,0
experimental,2.28,4.332244897959184,50,2,0.6126719490215523,0.9251143556494722,0.9127067639581647,7.175376890418584,2.8431319924594005,0.656272223622153,50,0
experimental,2.28,4.129795918367347,50,2,0.5840413397588153,0.8818830837065535,0.8700553078696732,7.175376890418584,3.045580972051237,0.7374652482235156,50,0
experimental,2.2,4.835102040816326,50,2,0.6837866881580279,1.0142195604427442,0.9745013735615053,7.175376890418584,2.340274849602258,0.48401767529339285,50,0
experimental,2.2,4.481632653061224,50,2,0.6337985679533299,0.9400751961557766,0.9032606011907249,7.175376890418584,2.69374423735736,0.6010631495014147,50,0
experimental,2.16,4.502040816326531,50,2,0.636684718080622,0.9357316117951697,0.8862572235014036,7.175376890418584,2.6733360740920533,0.5938053836378541,50,0
experimental,2.272727272727273,6.227039627039627,66,2,0.7664955920796956,1.1555355829043903,1.220214730222622,7.175376890418584,0.9483372633789573,0.152293436396486,66,0
experimental,2.1515151515151514,5.601864801864802,66,2,0.6895418907261828,1.0114230801607744,1.0244265914632376,7.175376890418584,1.573512088553782,0.2808907648092429,66,0
experimental,2.242424242424242,5.17948717948718,66,2,0.6375507994314157,0.9547148648952917,0.9983481073933543,7.175376890418584,1.9958897109314044,0.3853450431996276,66,0
experimental,2.272727272727273,6.227039627039627,66,2,0.7664955920796956,1.1555355829043903,1.220214730222622,7.175376890418584,0.9483372633789573,0.152293436396486,66,0
experimental,2.1515151515151514,5.4862470862470865,66,2,0.6753103337271736,0.990548169718042,1.0032832996287766,7.175376890418584,1.6891298041714977,0.30788438391807127,66,0
experimental,2.272727272727273,6.227039627039627,66,2,0.7664955920796956,1.1555355829043903,1.220214730222622,7.175376890418584,0.9483372633789573,0.152293436396486,66,0
experimental,2.3333333333333335,4.97016317016317,66,2,0.6117847950259516,0.9345167107431556,1.0051445474997982,7.175376890418584,2.205213720255414,0.4436904070863768,66,0
experimental,2.272727272727273,6.227039627039627,66,2,0.7664955920796956,1.1555355829043903,1.220214730222622,7.175376890418584,0.9483372633789573,0.152293436396486,66,0
experimental,2.1515151515151514,5.4862470862470865,66,2,0.6753103337271736,0.990548169718042,1.0032832996287766,7.175376890418584,1.6891298041714977,0.30788438391807127,66,0
experimental,2.242424242424242,5.628904428904429,66,2,0.6928702387340155,1.0375542105081683,1.0849734517252347,7.175376890418584,1.5464724615141554,0.2747377364541878,66,0
experimental,2.268292682926829,5.744052996085516,82,2,0.6343245382125181,0.9553468102162225,1.0675826343352655,7.175376890418584,1.431323894333068,0.24918361569931427,82,0
experimental,2.1707317073170733,6.073170731707317,82,2,0.6706695120155314,0.9881244354454065,1.06816376905835,7.175376890418584,1.102206158711267,0.18148776107293954,82,0
experimental,2.268292682926829,6.193917494730503,82,2,0.6840037613247797,1.0301679537716344,1.1511938974772704,7.175376890418584,0.9814593956880815,0.15845535503549435,82,0
experimental,2.1707317073170733,6.073170731707317,82,2,0.6706695120155314,0.9881244354454065,1.06816376905835,7.175376890418584,1.102206158711267,0.18148776107293954,82,0
experimental,2.268292682926829,5.937368262571515,82,2,0.6556726381041326,0.9874988678886284,1.1035119723119504,7.175376890418584,1.2380086278470692,0.20851134258444654,82,0
experimental,2.268292682926829,6.193917494730503,82,2,0.6840037613247797,1.0301679537716344,1.1511938974772704,7.175376890418584,0.9814593956880815,0.15845535503549435,82,0
experimental,2.268292682926829,5.937368262571515,82,2,0.6556726381041326,0.9874988678886284,1.1035119723119504,7.175376890418584,1.2380086278470692,0.20851134258444654,82,0
experimental,2.1707317073170733,6.073170731707317,82,2,0.6706695120155314,0.9881244354454065,1.06816376905835,7.175376890418584,1.102206158711267,0.18148776107293954,82,0
experimental,2.268292682926829,6.193917494730503,82,2,0.6840037613247797,1.0301679537716344,1.1511938974772704,7.175376890418584,0.9814593956880815,0.15845535503549435,82,0
experimental,2.1707317073170733,6.237880156579344,82,2,0.6888586251630596,1.0149231892848947,1.0971332559776281,7.175376890418584,0.9374967338392404,0.15029091779687764,82,0
experimental,2.2857142857142856,6.7574163686093,98,2,0.6826021339349444,1.0319974233107807,1.2183753424648165,7.175376890418584,0.41796052180928456,0.06185211906592968,98,0
experimental,2.2653061224489797,6.527877130233537,98,2,0.6594151693629591,0.9924814148266977,1.1642197684297757,7.175376890418584,0.6474997601850472,0.0991899429580536,98,0
experimental,2.2244897959183674,6.845781611613718,98,2,0.691528371442033,1.0313954510660817,1.1937688236173734,7.175376890418584,0.3295952788048666,0.04814574836067155,98,0
experimental,2.2653061224489797,6.527877130233537,98,2,0.6594151693629591,0.9924814148266977,1.1642197684297757,7.175376890418584,0.6474997601850472,0.0991899429580536,98,0
