proximity_mode,average_degree,mean_shortest_path,num_nodes,dim,S,S_general,S_smallworld_general,mean_shortest_path_prediction,msp_prediction_error,relative_msp_prediction_error,intended_size,false_edge_number
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,18.924782703627184,14.231721479137388,3.032502837353157,50,0
lattice,3.68,4.808163265306122,50,2,0.6799769699900023,1.3044219951218883,1.6013753559839279,18.924782703627184,14.116619438321061,2.9359692380209337,50,0
lattice,3.44,4.576326530612245,50,2,0.6471903045439649,1.200359195664882,1.4452677973698014,18.924782703627184,14.348456173014938,3.1353654677030502,50,0
lattice,3.48,4.562448979591837,50,2,0.6452277224574063,1.203656708584283,1.454368036284354,18.924782703627184,14.362333724035347,3.1479439634895865,50,0
lattice,3.56,4.576326530612245,50,2,0.6471903045439649,1.2211162243835465,1.4853795238224947,18.924782703627184,14.348456173014938,3.1353654677030502,50,0
lattice,3.44,4.576326530612245,50,2,0.6471903045439649,1.200359195664882,1.4452677973698014,18.924782703627184,14.348456173014938,3.1353654677030502,50,0
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,18.924782703627184,14.231721479137388,3.032502837353157,50,0
lattice,3.76,4.686530612244898,50,2,0.6627755152313419,1.285169406070282,1.5866292142680567,18.924782703627184,14.238252091382286,3.0381220714062533,50,0
lattice,3.24,4.693061224489796,50,2,0.6636990832720754,1.1946583498897356,1.4102773943285694,18.924782703627184,14.231721479137388,3.032502837353157,50,0
lattice,3.28,4.676734693877551,50,2,0.6613901631702417,1.1978285308164176,1.4200398455493948,18.924782703627184,14.248048009749633,3.0465803476947637,50,0
lattice,3.8421052631578947,8.687521784593935,152,2,0.7046510650006432,1.3812069094717485,2.3275995592362526,18.924782703627184,10.237260919033249,1.178386791177612,152,0
lattice,3.723684210526316,8.068665040083653,152,2,0.6544551547152356,1.2628922971430976,2.1115118629817187,18.924782703627184,10.85611766354353,1.3454663949503818,152,0
lattice,3.9078947368421053,8.189177413733008,152,2,0.6642299989738556,1.3130761541752174,2.2217564548838538,18.924782703627184,10.735605289894176,1.310950385797099,152,0
lattice,3.9210526315789473,8.438306029975601,152,2,0.6844369980594626,1.3552980507562928,2.2949918918486847,18.924782703627184,10.486476673651582,1.2427229631634849,152,0
lattice,3.960526315789474,8.673666782851168,152,2,0.7035272759644028,1.400094635127596,2.3762975175975365,18.924782703627184,10.251115920776016,1.1818664674833539,152,0
lattice,3.8289473684210527,8.481613802718718,152,2,0.6879497222796608,1.3461591206286867,2.2666401416214605,18.924782703627184,10.443168900908466,1.2312714471343869,152,0
lattice,3.6973684210526314,8.073980481003835,152,2,0.6548862939052399,1.259250885721809,2.10150481156241,18.924782703627184,10.850802222623349,1.3439222757786842,152,0
lattice,3.9473684210526314,8.540170791216452,152,2,0.6926993212252809,1.3762539970198158,2.3340670749620713,18.924782703627184,10.384611912410731,1.2159723928579138,152,0
lattice,3.8289473684210527,8.724381317532242,152,2,0.7076407679083774,1.3846899606150382,2.3315177235247573,18.924782703627184,10.200401386094942,1.1691833512132874,152,0
lattice,3.6710526315789473,8.091843848030672,152,2,0.656335204297877,1.2575376745000173,2.0946494314437105,18.924782703627184,10.832938855596511,1.3387478872609417,152,0
lattice,3.7559055118110236,10.463228657682611,254,2,0.6565213561750897,1.2723488071662525,2.5005350011926724,18.924782703627184,8.461554045944572,0.8086943641178755,254,0
lattice,3.921259842519685,10.576110298465656,254,2,0.6636041802553738,1.3140803586751815,2.6097999153776934,18.924782703627184,8.348672405161528,0.7893896876598123,254,0
lattice,3.8503937007874014,10.388160966045252,254,2,0.6518111902854714,1.2790112993322533,2.5292067304683035,18.924782703627184,8.536621737581932,0.8217644841550624,254,0
lattice,3.6535433070866143,10.533721328312222,254,2,0.6609444597157138,1.263345379477563,2.46481707118355,18.924782703627184,8.391061375314962,0.7965904084401509,254,0
lattice,3.8976377952755907,10.894463290902866,254,2,0.683579423574157,1.3495523026256497,2.676469882119286,18.924782703627184,8.030319412724317,0.737100965719883,254,0
lattice,3.6535433070866143,10.537829510441629,254,2,0.6612022299882799,1.2638380878708722,2.4657783570509553,18.924782703627184,8.386953193185555,0.7958900060847603,254,0
lattice,3.9448818897637796,11.028757274905853,254,2,0.6920057775599375,1.3744429654340151,2.73345900064804,18.924782703627184,7.89602542872133,0.7159487902311038,254,0
lattice,3.8346456692913384,10.849148797111823,254,2,0.6807361393555483,1.333034616641291,2.6334136719844987,18.924782703627184,8.07563390651536,0.7443564520624137,254,0
lattice,3.984251968503937,11.575581214403536,254,2,0.7263165630825714,1.449770792100958,2.8897478626205744,18.924782703627184,7.349201489223647,0.6348883354625001,254,0
lattice,3.905511811023622,10.60766860664156,254,2,0.6655843246219049,1.3153522225764338,2.6098784422334096,18.924782703627184,8.317114096985623,0.7840661699949978,254,0
lattice,3.949438202247191,13.10238961861054,356,2,0.6944252609372256,1.3800447587768707,3.0633711127523613,18.924782703627184,5.822393085016644,0.44437642708674757,356,0
lattice,3.707865168539326,12.446605475549928,356,2,0.6596687708679239,1.270246162090804,2.77632760558585,18.924782703627184,6.478177228077255,0.5204774298344208,356,0
lattice,3.8707865168539324,12.425510365564172,356,2,0.6585507322747537,1.2956534231698122,2.862570421445594,18.924782703627184,6.499272338063012,0.5230587836516538,356,0
lattice,3.9157303370786516,13.308244975470803,356,2,0.7053355730302172,1.395732449562441,3.0920839722739752,18.924782703627184,5.616537728156381,0.4220344409430805,356,0
