x,y,node_ID
4.112716,-4.751855,0
-0.7251409,9.660617,1
-3.1603093,1.2504435,2
16.226181,3.800468,3
16.578373,-0.6847055,4
2.7157013,7.430046,5
1.8107632,0.7716962,6
5.8304796,3.2106776,7
-4.7840633,7.138983,8
-5.0234284,5.7566924,9
2.3409507,9.245987,10
1.7400703,12.274054,11
-2.2972243,5.1214833,12
-2.0498042,1.5041987,13
12.131731,6.902037,14
3.521105,12.523695,15
12.339228,9.357995,16
2.8858473,-3.3067288,17
8.679268,2.506802,18
17.70004,2.2201788,19
6.3420925,12.199502,20
11.50638,-2.9473321,21
11.16932,7.934933,22
8.855685,-0.37969264,23
0.51604897,12.967765,24
1.8552431,-0.9122683,25
-5.416596,5.5827546,26
-2.4089243,1.0661002,27
15.447835,5.1365237,28
4.757788,8.338014,29
-0.94040966,9.007786,30
11.629575,3.613112,31
9.739392,13.194335,32
7.0471754,16.38634,33
1.9085258,0.19973353,34
8.443414,4.4058437,35
6.0456977,4.7126637,36
9.307408,-2.6467736,37
-3.266882,10.677518,38
13.277424,0.40102196,39
13.178163,4.453685,40
9.731295,-3.9975686,41
-7.201115,4.355348,42
-2.1212263,-0.46769476,43
-1.8560591,-4.0216894,44
-6.0549793,6.3602467,45
4.00645,2.8574297,46
0.21607599,6.6974735,47
0.071506105,1.7441132,48
7.934496,-5.0940375,49
12.069517,9.519147,50
-4.112717,7.2922025,51
-2.2188773,6.0671077,52
1.3317217,1.691367,53
7.5163846,-2.9196973,54
-0.9453495,10.689732,55
-4.9544783,7.9596386,56
6.5470533,-5.1125546,57
2.1672518,14.399155,58
12.129336,10.377284,59
2.6118984,3.2445843,60
16.65373,1.7064034,61
17.671797,2.1697204,62
9.075214,4.0522637,63
6.973671,5.470315,64
11.986094,1.4553092,65
11.300824,-3.8051414,66
4.4209013,6.506077,67
6.309203,5.457959,68
5.6910105,10.296053,69
7.717263,13.585053,70
13.186415,8.092604,71
1.1719182,10.422792,72
16.137337,4.776928,73
2.478903,-7.4968863,74
16.698387,2.4515061,75
2.84258,-4.734035,76
-8.829275,6.6407866,77
-3.8206959,-1.6728191,78
6.64948,1.1882948,79
1.7931477,-6.8000684,80
4.2400994,13.984933,81
7.512293,11.219114,82
12.002813,3.9573598,83
4.8873177,14.823628,84
3.8803585,0.041574694,85
-5.8688765,0.2104258,86
14.250121,-1.1821591,87
-7.9828296,3.6644578,88
0.5130086,-1.4074851,89
4.2416625,-6.90886,90
6.445249,-2.2591963,91
11.178233,11.470472,92
9.845417,7.348592,93
4.974735,1.2500241,94
5.015705,10.3110485,95
2.701255,8.185934,96
8.52792,-1.7679019,97
4.775441,3.5360222,98
1.0513765,-5.0914345,99
-2.450927,7.5085917,100
-4.986267,8.86635,101
7.2633677,14.278654,102
6.2011795,-1.8711526,103
12.3245125,4.988612,104
-3.0593393,-0.596626,105
8.258506,6.191002,106
2.8908777,3.9823153,107
14.993329,-0.7264859,108
1.4682728,13.053543,109
12.344657,10.045153,110
2.9847016,4.2684216,111
-6.6453443,4.499659,112
15.973406,3.9702642,113
0.18343456,-5.6308355,114
3.3471758,1.0441076,115
-1.8506368,-3.5897338,116
2.9461646,12.898784,117
7.9830093,-3.682322,118
6.287078,8.955324,119
8.6618,8.006463,120
16.299683,4.102932,121
1.5638841,9.606106,122
1.7837255,2.2799108,123
0.52563334,8.301866,124
13.422158,-1.8166722,125
6.300919,3.6895373,126
3.7291594,5.5388103,127
2.9201674,-6.5193734,128
-1.3855151,5.232079,129
5.949993,13.801997,130
-1.4325217,8.935243,131
8.594976,-3.9121592,132
-1.3794687,3.7573342,133
-1.5997727,-2.6799746,134
-0.1807488,8.324645,135
15.1026745,2.489118,136
6.124933,-2.5495336,137
-2.5610287,-2.6358685,138
13.674137,7.99102,139
4.5762434,4.218115,140
6.55035,10.093986,141
8.996775,3.773051,142
0.71826285,-7.8098216,143
-0.9406088,5.58932,144
8.49457,8.110036,145
0.476211,5.612058,146
2.370169,2.8037465,147
-1.238229,-0.1880949,148
7.4257965,-3.6465325,149
2.7828746,-8.174301,150
3.7077332,-7.9634247,151
-6.8363667,7.7628818,152
2.480709,1.7824565,153
11.165297,7.396509,154
9.82067,11.677627,155
3.8801994,8.979286,156
-0.67269635,1.5985734,157
0.3415255,7.25523,158
-7.00083,0.6880387,159
3.0949554,8.309335,160
6.557957,15.719145,161
-1.425412,0.9665744,162
-8.862216,6.9017587,163
4.9609303,-6.0968256,164
-5.7986093,-0.31900877,165
5.1297846,15.100408,166
1.5584615,-0.5364053,167
16.381332,-0.40893853,168
2.2528746,8.202602,169
8.309366,-4.9862037,170
4.750607,-5.2176967,171
