x,y,node_ID
4.343465,3.4005735,0
2.0646362,18.879969,1
13.8715315,11.5108385,2
6.2242856,-2.5267785,3
-0.8444116,0.57974267,4
0.9182313,4.4575233,5
14.647816,6.584949,6
5.5051465,0.6586694,7
5.3026185,-6.9405007,8
-0.34066698,12.645698,9
-0.8272391,-0.40129378,10
10.140674,12.566487,11
3.8832517,16.744827,12
4.78551,1.189065,13
10.153982,-3.1372256,14
16.463518,-1.1709584,15
7.7657137,3.1562154,16
20.731323,6.437777,17
-3.1602364,2.6720138,18
1.2069443,-5.895892,19
-2.1155615,15.3124695,20
-4.112409,-4.1777596,21
-12.439139,2.61748,22
-1.6785051,-2.3172991,23
5.95046,14.866596,24
3.4087176,-3.3419962,25
-0.48579583,7.4163365,26
9.576422,5.5045147,27
7.1235228,-1.5442235,28
-8.552969,3.8117316,29
-2.1320243,2.994948,30
-2.2279088,2.9243698,31
6.0138674,-6.1111007,32
6.473584,-11.104182,33
5.145637,11.069743,34
1.1630323,-2.173782,35
-8.38032,0.08715994,36
14.458991,5.521608,37
4.776668,-2.7803295,38
16.48769,8.979875,39
2.4045076,12.858227,40
3.8039439,15.602811,41
2.9825592,-9.188919,42
18.066313,9.7859,43
16.20105,4.9828277,44
2.3698273,19.54669,45
13.986199,7.2511325,46
7.4302773,-5.8449717,47
6.1660447,13.533663,48
-8.956416,2.920466,49
7.8198824,12.355827,50
11.376816,-0.032077905,51
15.228174,2.3260787,52
1.4393023,9.758924,53
-1.1858494,0.3769999,54
-8.168887,7.89276,55
5.5972605,-6.59726,56
11.349196,4.0008173,57
4.6253705,-12.704642,58
1.595105,7.6159587,59
19.616426,2.6167176,60
16.154047,9.188453,61
-4.353162,-3.9708648,62
-10.070265,6.0192533,63
12.620718,-4.5424514,64
-1.3979454,-0.7125574,65
7.361578,-4.5997696,66
-3.8224993,-2.1089108,67
-6.5940447,11.627861,68
-3.801812,14.577122,69
9.096376,13.480838,70
6.430675,7.0571833,71
5.2934933,20.13643,72
-5.0666504,11.95241,73
15.487779,1.8675057,74
-6.85603,5.161019,75
6.2813573,-4.5790253,76
9.405088,12.69157,77
6.0729194,17.118824,78
5.6979194,-9.8654175,79
4.7176695,12.291409,80
10.321535,14.321858,81
9.17368,-2.8151312,82
5.651815,10.833878,83
10.722859,-3.9134066,84
-1.6224982,9.957553,85
11.549887,-0.72377634,86
7.6359677,15.716461,87
2.3575358,14.560441,88
-10.22889,6.9984827,89
-0.15531045,-3.5345504,90
15.168796,7.9222054,91
5.896524,5.369643,92
3.4362082,4.2418103,93
4.563521,-3.9244971,94
12.0905075,-1.0764016,95
16.763212,8.537661,96
-6.169856,0.6097448,97
6.3943615,16.010946,98
-2.4438264,-2.920163,99
-2.9204915,-3.5597367,100
9.391863,-0.4982761,101
13.742148,11.004059,102
-2.0976267,7.772531,103
9.419899,-1.1023338,104
10.682275,11.28258,105
11.448113,15.208051,106
-2.2120135,0.74949807,107
-4.8481665,11.076805,108
-6.3525925,12.082824,109
-12.077467,2.1695175,110
19.081442,3.3834417,111
14.808277,4.339719,112
-2.4827135,4.375455,113
17.19614,9.0013685,114
11.100294,0.35347456,115
7.5174694,8.667892,116
19.348059,7.698142,117
12.755258,11.634279,118
4.4928994,21.823069,119
12.439204,4.437797,120
18.943115,4.979852,121
9.737238,4.402139,122
18.27352,3.1439946,123
14.332135,0.9674645,124
-2.380229,10.46458,125
2.863911,7.7197623,126
7.3681607,0.19368643,127
9.1353445,8.570605,128
20.330702,4.4521585,129
11.579022,0.5221478,130
-2.6908686,4.5267735,131
-3.5946484,3.7918212,132
1.7283099,-8.910866,133
14.591174,-0.3573181,134
10.045473,-5.1951203,135
2.6084473,19.004961,136
7.3362656,-0.25568333,137
5.700485,-4.2821164,138
-10.736005,1.8389441,139
-3.7305806,2.9830163,140
4.203536,20.364428,141
4.3588247,14.0723295,142
-0.4666359,15.729177,143
-4.790144,2.4453614,144
16.763935,9.095185,145
1.6857713,-9.984514,146
0.17620645,-1.4404706,147
-0.285963,3.8841143,148
9.277963,15.176778,149
2.0406165,-4.975625,150
0.61753076,1.0469933,151
5.053757,17.567177,152
-1.1813195,16.859676,153
8.345366,17.83845,154
