x,y,node_ID
8.313923,3.743992,0
-0.4125359,-6.426691,1
4.0982347,12.948317,2
8.24003,10.634637,3
2.5144932,16.739756,4
-3.034751,0.2863044,5
-0.7487026,16.362286,6
-0.7552644,-6.3382635,7
13.2331295,-3.9446275,8
-6.1645193,-2.2649693,9
0.9918076,-3.749916,10
6.406173,-4.656641,11
0.3852569,7.374468,12
-3.099501,-4.610651,13
8.764449,-4.547124,14
11.860654,15.62949,15
-3.9463208,1.9357784,16
14.762797,-0.074228846,17
6.962768,-5.2091937,18
-3.8819435,-1.8688781,19
5.381133,-2.9049733,20
17.33199,10.341719,21
10.935232,15.908416,22
-2.143691,7.009062,23
-0.6450248,3.8280146,24
14.201496,0.44865173,25
4.9661217,15.311401,26
3.1408179,5.1091714,27
9.13325,-4.8929696,28
-3.6190662,4.7496824,29
13.329962,7.0147724,30
-5.7552624,3.1551158,31
-4.9568806,8.753217,32
1.9121605,15.465987,33
7.0450053,4.944017,34
0.08448925,15.820539,35
3.3489077,-3.176122,36
15.555983,11.767608,37
5.7266064,-5.408742,38
15.729417,15.281534,39
4.4455156,-6.040361,40
11.108732,7.705061,41
8.576428,1.5171813,42
-0.6018799,5.8633604,43
13.152105,4.42927,44
1.0023571,17.427784,45
-1.778371,13.429945,46
16.65247,3.1370997,47
-2.111273,-1.1572745,48
12.6194105,-3.5989094,49
6.8409123,-6.134794,50
-2.1340828,13.843964,51
-2.0644875,-2.858545,52
8.683084,4.434532,53
6.7140265,7.3217826,54
3.704979,6.6142626,55
8.106632,11.205719,56
1.5339077,16.147955,57
-2.9614139,-4.80627,58
5.5782456,1.927337,59
-6.6409636,11.313098,60
-7.4376116,1.8933015,61
8.230642,2.6967876,62
-0.0023045994,13.669058,63
14.710406,6.1818795,64
9.723342,1.5422952,65
-4.221901,-2.320158,66
2.1549356,9.859365,67
-4.3162074,12.791605,68
-4.2064624,15.320945,69
7.4110265,9.913617,70
-1.5254743,9.403282,71
11.759733,2.0099852,72
3.4085374,-0.27764973,73
13.931997,7.4830766,74
7.463796,10.782057,75
-5.2543354,-1.435649,76
-5.954903,10.34101,77
-3.2939904,10.587062,78
12.153749,16.22735,79
3.6168888,4.683418,80
-6.603819,3.2770011,81
-3.9221606,11.1176405,82
12.896744,-5.7663746,83
7.786239,17.537397,84
15.7649555,10.193029,85
-8.091139,-1.4080151,86
10.911001,0.6334151,87
7.1065764,9.503218,88
7.478899,15.639784,89
-3.0198402,16.02574,90
-6.596293,1.6915256,91
5.9451003,16.299652,92
11.622152,0.47741762,93
17.297005,14.738846,94
13.060536,15.152809,95
9.472388,-2.9260268,96
-8.101334,2.7653341,97
-1.6771793,6.6153755,98
15.149198,5.5204015,99
10.09413,-3.7260888,100
-6.7484384,2.031953,101
7.1601977,5.8434267,102
-4.9889674,-2.646062,103
15.487273,8.4399185,104
-4.419609,2.6027453,105
11.352383,-5.0207953,106
11.05668,-6.808907,107
12.544337,1.9457579,108
11.716363,2.0351367,109
5.2286496,0.89062613,110
17.180546,14.962406,111
17.753841,9.455415,112
14.267544,9.031806,113
-5.491122,15.429499,114
-3.3579037,17.445078,115
-8.140271,2.502301,116
16.048906,3.1681468,117
1.3936226,-1.6970347,118
