x,y,node_ID
3.3904479,-8.732773,0
3.6413624,-8.600783,1
3.5848587,-8.943455,2
4.0936804,-8.949329,3
4.7090445,-9.00322,4
5.3379903,-9.241908,5
5.62301,-9.194998,6
6.1516404,-9.089614,7
6.8856635,-9.169101,8
7.8070564,-9.139252,9
8.547585,-9.130627,10
9.100421,-9.443363,11
9.3413925,-9.213227,12
10.227085,-9.170585,13
10.420556,-9.160282,14
11.246439,-8.957859,15
11.407986,-8.99546,16
12.167087,-8.710323,17
13.011817,-8.481568,18
13.474392,-8.377884,19
14.12252,-8.330527,20
14.708008,-8.234465,21
15.423015,-8.027676,22
15.95676,-8.211879,23
16.327604,-7.973824,24
17.016874,-8.040931,25
17.49876,-7.898128,26
17.723286,-7.8392277,27
18.390484,-7.623801,28
18.974129,-7.4557295,29
19.533535,-7.6095324,30
20.047451,-7.4951696,31
20.35198,-7.431604,32
20.824846,-7.4931865,33
21.590586,-7.3168693,34
22.308933,-7.259235,35
22.73498,-7.047085,36
23.34646,-7.2318587,37
23.82697,-7.1218147,38
24.209301,-6.9634914,39
24.899326,-6.849642,40
25.24025,-6.9776535,41
25.80446,-6.8076463,42
26.441355,-6.731111,43
26.226051,-6.6038976,44
3.0846744,-8.667918,45
3.2034802,-8.8509865,46
3.7762423,-8.966202,47
4.1734557,-9.001326,48
4.7416444,-8.942817,49
5.3135605,-8.864598,50
5.7236595,-8.826524,51
6.606306,-8.9514675,52
7.1126237,-8.9955225,53
7.662112,-8.892628,54
8.261048,-9.108277,55
8.906398,-9.06883,56
9.33024,-9.0085335,57
10.055917,-9.122652,58
10.56429,-9.128602,59
11.044647,-8.887148,60
11.769402,-8.793149,61
12.263661,-8.515934,62
12.843323,-8.361999,63
13.45755,-8.391516,64
14.044475,-8.346855,65
14.518014,-8.143334,66
15.178837,-8.038672,67
15.77837,-7.955797,68
16.094212,-7.833994,69
16.881584,-7.923934,70
17.293482,-7.753096,71
17.86274,-7.517157,72
18.503893,-7.370276,73
18.675432,-7.2576394,74
19.370192,-7.190912,75
19.904068,-7.2645206,76
20.58498,-7.132905,77
21.10512,-7.227621,78
21.829327,-7.128719,79
22.166903,-6.7940664,80
22.662441,-7.0929465,81
23.36456,-6.7995944,82
23.685232,-6.870424,83
24.340542,-6.8387146,84
25.071278,-6.666678,85
25.46973,-6.658318,86
25.887785,-6.6585765,87
26.351768,-6.4422693,88
26.636368,-6.3433957,89
2.7985187,-8.175841,90
2.9663808,-8.201541,91
3.53732,-8.291654,92
4.062573,-8.356193,93
4.6789365,-8.267648,94
5.247858,-8.239426,95
5.659514,-8.144647,96
6.420007,-8.250822,97
6.8123813,-8.346982,98
7.461739,-8.329648,99
8.31229,-8.29028,100
8.909288,-8.453047,101
9.599254,-8.479545,102
10.024618,-8.482167,103
10.491503,-8.309557,104
10.95965,-8.203107,105
11.629773,-8.027558,106
12.306058,-8.056459,107
12.688082,-7.96991,108
13.533076,-7.763729,109
14.122259,-7.744306,110
14.458714,-7.5558987,111
14.944785,-7.488725,112
15.622517,-7.371085,113
16.131964,-7.209735,114
16.829273,-7.267772,115
17.288895,-7.037563,116
17.849833,-6.859734,117
18.41915,-6.6861873,118
