,proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld,S_general,Predicted_S,Predicted_S_bipartite,Corrected_Predicted_S
183,knn,27.658,4.4204,4,1000,3,0.442,0.4,1.5627,1.3368063330429112,1.4000714267493641,1.111237427826279,1.4000714267493641
184,knn,33.338,4.1385,4,1000,3,0.4138,0.4,1.6692,1.3319547581514088,1.4000714267493641,1.111237427826279,1.4000714267493641
185,knn,39.03,3.8677,4,1000,3,0.3868,0.4,1.786,1.3119550761430352,1.4000714267493641,1.111237427826279,1.4000714267493641
186,knn,6.19,9.1671,9,1000,3,0.9167,0.9,0.7535,1.6831733719157735,1.4000714267493641,1.111237427826279,1.4000714267493641
187,knn,8.372,7.6776,8,1000,3,0.7678,0.8,0.8997,1.558960895749694,1.4000714267493641,1.111237427826279,1.4000714267493641
188,knn,9.572,7.0866,7,1000,3,0.7087,0.7,0.9748,1.5046615269715709,1.4000714267493641,1.111237427826279,1.4000714267493641
189,knn,10.62,6.7738,7,1000,3,0.6774,0.7,1.0198,1.4889286109343394,1.4000714267493641,1.111237427826279,1.4000714267493641
190,knn,16.153,6.9974,7,2000,3,0.5554,0.5556,1.0862,1.4039266986244228,1.4000714267493641,1.111237427826279,1.4000714267493641
191,knn,21.722,6.159,6,2000,3,0.4888,0.4762,1.2341,1.3639553134397924,1.4000714267493641,1.111237427826279,1.4000714267493641
192,knn,27.416,5.619,6,2000,3,0.446,0.4762,1.3527,1.3447773860708143,1.4000714267493641,1.111237427826279,1.4000714267493641
193,knn,32.843,5.2384,5,2000,3,0.4158,0.3969,1.451,1.3314849624115355,1.4000714267493641,1.111237427826279,1.4000714267493641
194,knn,38.66,4.897,5,2000,3,0.3887,0.3969,1.5522,1.3142381061992552,1.4000714267493641,1.111237427826279,1.4000714267493641
195,knn,6.101,11.4504,11,2000,3,0.9088,0.8731,0.6638,1.6606483107416778,1.4000714267493641,1.111237427826279,1.4000714267493641
196,knn,8.332,9.7492,10,2000,3,0.7738,0.7937,0.7796,1.5687078447225002,1.4000714267493641,1.111237427826279,1.4000714267493641
197,knn,9.444,8.9381,9,2000,3,0.7094,0.7143,0.8504,1.4995255506791474,1.4000714267493641,1.111237427826279,1.4000714267493641
198,knn,10.604,8.5019,9,2000,3,0.6748,0.7143,0.894,1.4825040902244482,1.4000714267493641,1.111237427826279,1.4000714267493641
199,knn,16.0833,8.0419,8,3000,3,0.5576,0.5547,0.9956,1.407483474578813,1.4000714267493641,1.111237427826279,1.4000714267493641
200,knn,21.628,7.0673,7,3000,3,0.49,0.4854,1.1329,1.3652700477629045,1.4000714267493641,1.111237427826279,1.4000714267493641
201,knn,27.3013,6.4238,6,3000,3,0.4454,0.416,1.2464,1.3411562214220265,1.4000714267493641,1.111237427826279,1.4000714267493641
202,knn,32.7313,5.9687,6,3000,3,0.4138,0.416,1.3414,1.323814349021193,1.4000714267493641,1.111237427826279,1.4000714267493641
203,knn,38.402,5.5953,6,3000,3,0.388,0.416,1.4309,1.3088832389281542,1.4000714267493641,1.111237427826279,1.4000714267493641
204,knn,6.0367,13.2351,13,3000,3,0.9177,0.9014,0.6049,1.6709110843645916,1.4000714267493641,1.111237427826279,1.4000714267493641
205,knn,8.3427,10.9218,11,3000,3,0.7573,0.7627,0.7331,1.5358754911786934,1.4000714267493641,1.111237427826279,1.4000714267493641
206,knn,9.4567,10.2518,10,3000,3,0.7108,0.6934,0.781,1.503163577786911,1.4000714267493641,1.111237427826279,1.4000714267493641
207,knn,10.5693,9.6689,10,3000,3,0.6704,0.6934,0.8281,1.471246328474021,1.4000714267493641,1.111237427826279,1.4000714267493641
208,knn_bipartite,2.7863,20.9823,21,351,2,1.12,1.1209,0.2793,1.8694483528234838,1.096722617620335,0.7754999999999999,0.7754999999999999
209,knn_bipartite,2.7619,29.4792,28,399,2,1.4758,1.4018,0.2032,2.45263668985075,1.096722617620335,0.7754999999999999,0.7754999999999999
210,knn_bipartite,2.8067,19.0416,19,476,2,0.8728,0.8709,0.3238,1.46217030222025,1.096722617620335,0.7754999999999999,0.7754999999999999
211,knn_bipartite,2.8163,26.4651,26,490,2,1.1956,1.1746,0.2341,2.0063881627276916,1.096722617620335,0.7754999999999999,0.7754999999999999
212,knn_bipartite,11.88,5.9799,6,500,2,0.2674,0.2683,1.0393,0.9217584755659153,1.096722617620335,0.7754999999999999,0.7754999999999999
213,knn_bipartite,17.556,4.8851,5,500,2,0.2185,0.2236,1.2722,0.9153796266987375,1.096722617620335,0.7754999999999999,0.7754999999999999
214,knn_bipartite,23.188,4.2095,4,500,2,0.1883,0.1789,1.4763,0.9065195145356773,1.096722617620335,0.7754999999999999,0.7754999999999999
215,knn_bipartite,5.156,10.2001,10,500,2,0.4562,0.4472,0.6093,1.035799940424366,1.096722617620335,0.7754999999999999,0.7754999999999999
216,knn_bipartite,6.276,9.0047,9,500,2,0.4027,0.4025,0.6902,1.0088479451699746,1.096722617620335,0.7754999999999999,0.7754999999999999
217,knn_bipartite,7.476,8.1747,8,500,2,0.3656,0.3578,0.7602,0.9995889989319008,1.096722617620335,0.7754999999999999,0.7754999999999999
218,knn_bipartite,3.968,13.4981,13,500,2,0.6037,0.5814,0.4604,1.2024678423346549,1.096722617620335,0.7754999999999999,0.7754999999999999
219,knn_bipartite,2.743,33.6993,34,961,2,1.0871,1.0968,0.2038,1.800412791320634,1.096722617620335,0.7754999999999999,0.7754999999999999
220,knn_bipartite,11.998,8.0773,8,1000,2,0.2554,0.253,0.8552,0.8847501443511722,1.096722617620335,0.7754999999999999,0.7754999999999999
221,knn_bipartite,17.448,6.6144,7,1000,2,0.2092,0.2214,1.0444,0.8737019021710323,1.096722617620335,0.7754999999999999,0.7754999999999999
222,knn_bipartite,23.118,5.7223,6,1000,2,0.181,0.1897,1.2072,0.8700530870643584,1.096722617620335,0.7754999999999999,0.7754999999999999
223,knn_bipartite,5.124,14.5368,14,1000,2,0.4597,0.4427,0.4752,1.0405749717948054,1.096722617620335,0.7754999999999999,0.7754999999999999
224,knn_bipartite,6.238,12.5846,12,1000,2,0.398,0.3795,0.5489,0.9939444231767087,1.096722617620335,0.7754999999999999,0.7754999999999999
225,knn_bipartite,7.484,10.7371,11,1000,2,0.3395,0.3479,0.6434,0.9288677559332329,1.096722617620335,0.7754999999999999,0.7754999999999999
226,knn_bipartite,3.88,19.867,20,1000,2,0.6282,0.6325,0.3477,1.2375083972725196,1.096722617620335,0.7754999999999999,0.7754999999999999
227,knn_bipartite,2.7335,46.0978,46,1805,2,1.085,1.0827,0.1627,1.7939120013947174,1.096722617620335,0.7754999999999999,0.7754999999999999
228,knn_bipartite,11.922,11.324,11,2000,2,0.2532,0.246,0.6712,0.8742978725445922,1.096722617620335,0.7754999999999999,0.7754999999999999
229,knn_bipartite,17.419,9.075,9,2000,2,0.2029,0.2012,0.8376,0.8469216704852344,1.096722617620335,0.7754999999999999,0.7754999999999999
230,knn_bipartite,22.896,7.7884,8,2000,2,0.1742,0.1789,0.9759,0.8333224048127351,1.096722617620335,0.7754999999999999,0.7754999999999999
231,knn_bipartite,5.116,19.8118,20,2000,2,0.443,0.4472,0.3837,1.002014959177716,1.096722617620335,0.7754999999999999,0.7754999999999999
232,knn_bipartite,6.304,16.9874,17,2000,2,0.3798,0.3801,0.4474,0.9537180839281176,1.096722617620335,0.7754999999999999,0.7754999999999999
233,knn_bipartite,7.401,15.1078,15,2000,2,0.3378,0.3354,0.5031,0.9190336881303209,1.096722617620335,0.7754999999999999,0.7754999999999999
234,knn_bipartite,3.958,25.2631,25,2000,2,0.5649,0.559,0.3009,1.1238530751687208,1.096722617620335,0.7754999999999999,0.7754999999999999
235,knn_bipartite,2.7861,49.0253,49,2926,2,0.9063,0.9059,0.1628,1.512799767743439,1.096722617620335,0.7754999999999999,0.7754999999999999
236,knn_bipartite,11.8127,13.6165,13,3000,2,0.2486,0.2373,0.588,0.8544358270749135,1.096722617620335,0.7754999999999999,0.7754999999999999
237,knn_bipartite,17.1473,10.9613,11,3000,2,0.2001,0.2008,0.7304,0.8287037609262103,1.096722617620335,0.7754999999999999,0.7754999999999999
238,knn_bipartite,22.806,9.4092,9,3000,2,0.1718,0.1643,0.8509,0.8203829626176302,1.096722617620335,0.7754999999999999,0.7754999999999999
239,knn_bipartite,5.1327,23.5801,23,3000,2,0.4305,0.4199,0.3395,0.9753443122208224,1.096722617620335,0.7754999999999999,0.7754999999999999
240,knn_bipartite,6.2887,20.6598,20,3000,2,0.3772,0.3651,0.3875,0.9459015220333015,1.096722617620335,0.7754999999999999,0.7754999999999999
241,knn_bipartite,7.4087,18.3048,18,3000,2,0.3342,0.3286,0.4374,0.9096521815346874,1.096722617620335,0.7754999999999999,0.7754999999999999
242,knn_bipartite,3.934,30.8038,30,3000,2,0.5624,0.5477,0.2599,1.1154775789659122,1.096722617620335,0.7754999999999999,0.7754999999999999
243,knn_bipartite,12.064,4.5812,5,500,3,0.5772,0.63,1.3566,1.3237918208650248,1.4000714267493641,1.111237427826279,1.111237427826279
244,knn_bipartite,17.968,3.8455,4,500,3,0.4845,0.504,1.6161,1.2690032291531392,1.4000714267493641,1.111237427826279,1.111237427826279
245,knn_bipartite,23.676,3.4686,3,500,3,0.437,0.378,1.7917,1.2548745998290727,1.4000714267493641,1.111237427826279,1.111237427826279
246,knn_bipartite,5.296,6.9813,7,500,3,0.8796,0.8819,0.8902,1.5331887536065363,1.4000714267493641,1.111237427826279,1.111237427826279
247,knn_bipartite,6.256,6.3603,6,500,3,0.8014,0.756,0.9771,1.4765670722091504,1.4000714267493641,1.111237427826279,1.111237427826279
248,knn_bipartite,7.616,5.7302,6,500,3,0.722,0.756,1.0845,1.4204373736781442,1.4000714267493641,1.111237427826279,1.111237427826279
249,knn_bipartite,4.024,8.5951,9,500,3,1.0829,1.1339,0.723,1.7224511867489871,1.4000714267493641,1.111237427826279,1.111237427826279
250,knn_bipartite,12.166,5.5846,6,1000,3,0.5585,0.6,1.2369,1.2844228093698455,1.4000714267493641,1.111237427826279,1.111237427826279
251,knn_bipartite,17.802,4.7941,5,1000,3,0.4794,0.5,1.4409,1.251785800761207,1.4000714267493641,1.111237427826279,1.111237427826279
252,knn_bipartite,23.606,4.2731,4,1000,3,0.4273,0.4,1.6166,1.2257931515828007,1.4000714267493641,1.111237427826279,1.111237427826279
253,knn_bipartite,5.254,8.8473,9,1000,3,0.8847,0.9,0.7808,1.5380629476342673,1.4000714267493641,1.111237427826279,1.111237427826279
254,knn_bipartite,6.4,7.8377,8,1000,3,0.7838,0.8,0.8813,1.4551752320482751,1.4000714267493641,1.111237427826279,1.111237427826279
255,knn_bipartite,7.466,7.2005,7,1000,3,0.72,0.7,0.9593,1.407317160071118,1.4000714267493641,1.111237427826279,1.111237427826279
256,knn_bipartite,3.922,10.7922,11,1000,3,1.0792,1.1,0.6401,1.7019462807794905,1.4000714267493641,1.111237427826279,1.111237427826279
257,knn_bipartite,12.011,7.0178,7,2000,3,0.557,0.5556,1.0831,1.2756084208548242,1.4000714267493641,1.111237427826279,1.111237427826279
258,knn_bipartite,17.821,5.9422,6,2000,3,0.4716,0.4762,1.2791,1.2319165503656362,1.4000714267493641,1.111237427826279,1.111237427826279
259,knn_bipartite,23.447,5.298,5,2000,3,0.4205,0.3969,1.4347,1.203550681745157,1.4000714267493641,1.111237427826279,1.111237427826279
260,knn_bipartite,5.123,11.0428,11,2000,3,0.8765,0.8731,0.6883,1.510928778771809,1.4000714267493641,1.111237427826279,1.111237427826279
261,knn_bipartite,6.311,9.7625,10,2000,3,0.7748,0.7937,0.7786,1.4319145708326841,1.4000714267493641,1.111237427826279,1.111237427826279
262,knn_bipartite,7.447,8.9531,9,2000,3,0.7106,0.7143,0.849,1.3876839162302437,1.4000714267493641,1.111237427826279,1.111237427826279
263,knn_bipartite,3.957,13.2031,13,2000,3,1.0479,1.0318,0.5757,1.6575040471455196,1.4000714267493641,1.111237427826279,1.111237427826279
264,knn_bipartite,11.9427,7.9773,8,3000,3,0.5531,0.5547,1.0036,1.2642986692963716,1.4000714267493641,1.111237427826279,1.111237427826279
265,knn_bipartite,17.5633,6.7515,7,3000,3,0.4681,0.4854,1.1859,1.216826222880557,1.4000714267493641,1.111237427826279,1.111237427826279
266,knn_bipartite,23.314,6.0195,6,3000,3,0.4174,0.416,1.3301,1.1923184508010027,1.4000714267493641,1.111237427826279,1.111237427826279
267,knn_bipartite,5.1573,12.6583,13,3000,3,0.8777,0.9014,0.6325,1.516383665730282,1.4000714267493641,1.111237427826279,1.111237427826279
268,knn_bipartite,6.2787,11.1306,11,3000,3,0.7718,0.7627,0.7193,1.4237532719068484,1.4000714267493641,1.111237427826279,1.111237427826279
269,knn_bipartite,7.434,10.1544,10,3000,3,0.7041,0.6934,0.7885,1.3741095809152062,1.4000714267493641,1.111237427826279,1.111237427826279
270,knn_bipartite,3.9533,15.3242,15,3000,3,1.0625,1.04,0.5225,1.680056874447599,1.4000714267493641,1.111237427826279,1.111237427826279
