,proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld,S_general,Predicted_S,Predicted_S_bipartite,Corrected_Predicted_S
19,delaunay_corrected,14.269,6.5091,7,2000,3,0.5166,0.5556,1.1677,1.2530703613129386,1.4000714267493641,1.111237427826279,1.4000714267493641
20,delaunay_corrected,14.5693,7.2764,7,3000,3,0.5045,0.4854,1.1003,1.232222238083571,1.4000714267493641,1.111237427826279,1.4000714267493641
21,epsilon-ball,3.619,10.4782,10,105,2,1.0226,0.9759,0.4442,1.9452988304984575,1.096722617620335,0.7754999999999999,1.096722617620335
22,epsilon-ball,3.9383,11.7599,12,162,2,0.9239,0.9428,0.4326,1.8335827696269222,1.096722617620335,0.7754999999999999,1.096722617620335
23,epsilon-ball,4.1531,15.0009,14,209,2,1.0376,0.9684,0.3561,2.114610415852667,1.096722617620335,0.7754999999999999,1.096722617620335
24,epsilon-ball,4.1094,19.1917,18,256,2,1.1995,1.125,0.2889,2.431547018432085,1.096722617620335,0.7754999999999999,1.096722617620335
25,epsilon-ball,12.912,7.3416,7,500,2,0.3283,0.313,0.8465,1.1797839270906516,1.096722617620335,0.7754999999999999,1.096722617620335
26,epsilon-ball,17.196,6.1288,6,500,2,0.2741,0.2683,1.014,1.1365908759181906,1.096722617620335,0.7754999999999999,1.096722617620335
27,epsilon-ball,21.276,5.5141,5,500,2,0.2466,0.2236,1.127,1.1374560540799454,1.096722617620335,0.7754999999999999,1.096722617620335
28,epsilon-ball,24.46,5.0349,5,500,2,0.2252,0.2236,1.2343,1.1136124393383904,1.096722617620335,0.7754999999999999,1.096722617620335
29,epsilon-ball,28.056,4.7029,5,500,2,0.2103,0.2236,1.3214,1.1140216178431726,1.096722617620335,0.7754999999999999,1.096722617620335
30,epsilon-ball,12.292,7.7571,8,500,2,0.3469,0.3578,0.8012,1.2162578708807765,1.096722617620335,0.7754999999999999,1.096722617620335
31,epsilon-ball,16.488,6.2826,6,500,2,0.281,0.2683,0.9892,1.1408758764974216,1.096722617620335,0.7754999999999999,1.096722617620335
32,epsilon-ball,19.44,5.6765,6,500,2,0.2539,0.2683,1.0948,1.119292955164107,1.096722617620335,0.7754999999999999,1.096722617620335
33,epsilon-ball,23.836,5.0856,5,500,2,0.2274,0.2236,1.222,1.110385762654547,1.096722617620335,0.7754999999999999,1.096722617620335
34,epsilon-ball,27.828,4.644,5,500,2,0.2077,0.2236,1.3382,1.0955903699905363,1.096722617620335,0.7754999999999999,1.096722617620335
