proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld
epsilon-ball,25.342,5.7403,6,2000,3,0.4556,0.4762,1.3241
epsilon-ball,29.476,5.3905,5,2000,3,0.4278,0.3969,1.41
epsilon-ball,34.157,5.0689,5,2000,3,0.4023,0.3969,1.4995
epsilon-ball,15.802,8.1196,8,3000,3,0.563,0.5547,0.9861
epsilon-ball,20.5067,7.1283,7,3000,3,0.4942,0.4854,1.1232
epsilon-ball,25.4293,6.5476,7,3000,3,0.454,0.4854,1.2228
epsilon-ball,30.674,5.998,6,3000,3,0.4159,0.416,1.3348
epsilon-ball,35.0993,5.7114,6,3000,3,0.396,0.416,1.4018
epsilon_bipartite,3.2105,16.1262,15,228,2,1.068,0.9934,0.3367
epsilon_bipartite,3.1368,22.0316,20,285,2,1.305,1.1847,0.2566
epsilon_bipartite,3.2952,17.3153,17,315,2,0.9756,0.9578,0.3322
epsilon_bipartite,3.5738,18.2798,18,474,2,0.8396,0.8268,0.337
epsilon_bipartite,6.9197,8.5341,8,498,2,0.3824,0.3585,0.7277
epsilon_bipartite,10.7054,6.3382,6,499,2,0.2837,0.2686,0.9802
epsilon_bipartite,14.016,5.542,5,499,2,0.2481,0.2238,1.121
epsilon_bipartite,3.8615,25.1025,24,621,2,1.0073,0.9631,0.2562
epsilon_bipartite,3.2759,39.3941,38,754,2,1.4346,1.3839,0.1682
epsilon_bipartite,7.0831,11.9072,12,999,2,0.3767,0.3797,0.58
epsilon_bipartite,10.322,9.0126,9,1000,2,0.285,0.2846,0.7665
epsilon_bipartite,13.588,7.6739,8,1000,2,0.2427,0.253,0.9002
epsilon_bipartite,3.8097,37.2967,36,1871,2,0.8623,0.8323,0.202
epsilon_bipartite,7.2803,16.0263,16,1998,2,0.3585,0.3579,0.4742
epsilon_bipartite,14.2321,10.2061,10,1999,2,0.2283,0.2237,0.7447
epsilon_bipartite,10.667,12.2802,12,2000,2,0.2746,0.2683,0.619
epsilon_bipartite,7.2244,19.6278,19,2994,2,0.3587,0.3472,0.4078
epsilon_bipartite,10.9253,14.7699,15,3000,2,0.2697,0.2739,0.5421
epsilon_bipartite,14.306,12.342,12,3000,2,0.2253,0.2191,0.6487
epsilon_bipartite,18.5371,3.7004,4,499,3,0.4665,0.5043,1.6789
epsilon_bipartite,9.552,5.0008,5,500,3,0.6301,0.63,1.2427
epsilon_bipartite,14.028,4.1461,4,500,3,0.5224,0.504,1.4989
epsilon_bipartite,10.4534,6.0309,6,997,3,0.6037,0.6006,1.1449
epsilon_bipartite,14.862,5.056,5,1000,3,0.5056,0.5,1.3662
epsilon_bipartite,20.104,4.4722,4,1000,3,0.4472,0.4,1.5446
epsilon_bipartite,11.03,7.3062,7,1998,3,0.5801,0.5558,1.0402
epsilon_bipartite,15.922,6.1383,6,2000,3,0.4872,0.4762,1.2383
epsilon_bipartite,20.804,5.4352,5,2000,3,0.4314,0.3969,1.3985
epsilon_bipartite,11.2164,8.1681,8,2999,3,0.5664,0.5548,0.9802
epsilon_bipartite,16.716,6.7419,7,3000,3,0.4675,0.4854,1.1876
epsilon_bipartite,21.674,6.0809,6,3000,3,0.4216,0.416,1.3166
experimental,2.2375,9.46,9,160,2,0.7479,0.7115,0.5365
experimental,2.4109,9.1362,9,331,2,0.5022,0.4947,0.6351
experimental,2.5777,13.8685,12,2053,2,0.3061,0.2648,0.55
knn,2.5781,17.6223,16,128,2,1.5576,1.4142,0.2753
knn,3.7204,20.7729,21,465,2,0.9633,0.9739,0.2957
knn,15.968,6.2857,6,500,2,0.2811,0.2683,0.9887
knn,21.464,5.3886,5,500,2,0.241,0.2236,1.1533
knn,27.156,4.7205,5,500,2,0.2111,0.2236,1.3165
knn,32.732,4.2819,4,500,2,0.1915,0.1789,1.4514
knn,38.572,3.9242,4,500,2,0.1755,0.1789,1.5837
knn,4.88,14.1058,14,500,2,0.6308,0.6261,0.4406
knn,8.228,9.1927,9,500,2,0.4111,0.4025,0.676
knn,10.368,8.1593,8,500,2,0.3649,0.3578,0.7617
knn,6.052,11.7717,12,500,2,0.5264,0.5367,0.5279
knn,8.288,9.2855,9,500,2,0.4153,0.4025,0.6693
knn,9.384,8.4397,8,500,2,0.3774,0.3578,0.7364
knn,10.628,7.9921,8,500,2,0.3574,0.3578,0.7776
knn,3.732,21.3542,21,500,2,0.955,0.9391,0.291
knn,3.7659,25.6597,26,974,2,0.8222,0.8331,0.2682
knn,16.03,8.7325,9,1000,2,0.2761,0.2846,0.791
knn,15.908,8.6923,9,1000,2,0.2749,0.2846,0.7947
knn,21.33,7.487,7,1000,2,0.2368,0.2214,0.9226
knn,26.672,6.6133,7,1000,2,0.2091,0.2214,1.0445
knn,32.19,5.9968,6,1000,2,0.1896,0.1897,1.1519
knn,38.118,5.4696,5,1000,2,0.173,0.1581,1.2629
knn,5.964,16.4234,16,1000,2,0.5194,0.506,0.4206
knn,8.156,13.1495,13,1000,2,0.4158,0.4111,0.5253
knn,9.368,11.9936,12,1000,2,0.3793,0.3795,0.576
