x,y,node_ID
15.99235,-1.7401851,0
15.800243,-1.7651848,1
16.239141,-1.9132229,2
15.988974,-2.6967556,3
15.67159,-3.4270356,4
15.5519285,-4.1340485,5
15.351692,-4.8662415,6
15.154581,-5.30443,7
15.100554,-6.319604,8
14.876712,-6.7776804,9
14.999925,-7.486541,10
14.526271,-8.441131,11
14.306605,-9.251633,12
13.967679,-9.715095,13
13.951051,-10.506028,14
13.578378,-11.331488,15
13.149227,-11.942044,16
13.072449,-12.326969,17
12.781607,-12.996931,18
12.403556,-13.715841,19
12.178594,-14.444992,20
12.208273,-14.946174,21
11.943759,-15.794492,22
11.886155,-16.037802,23
11.552725,-16.804644,24
11.498923,-17.244467,25
11.619639,-17.857,26
10.99484,-18.91986,27
10.582,-19.389526,28
10.486175,-19.887281,29
9.903414,-20.191805,30
9.283606,-20.545694,31
15.843162,-1.4745932,32
15.948056,-1.5823091,33
15.8300705,-2.4101691,34
15.723977,-3.013677,35
15.422534,-3.66957,36
15.277872,-4.1896887,37
15.160531,-4.727105,38
15.034555,-5.3413367,39
14.918518,-6.1124306,40
15.002434,-6.7133107,41
14.609621,-7.4767966,42
14.3382225,-8.19342,43
14.231027,-8.945862,44
14.018834,-9.730408,45
13.76526,-10.339738,46
13.350288,-10.924525,47
13.227906,-11.774389,48
12.902132,-12.280346,49
12.524389,-13.009343,50
12.083609,-13.707585,51
12.208993,-14.524263,52
11.718369,-15.036887,53
11.839637,-15.529707,54
11.490617,-16.045322,55
11.384273,-16.730042,56
11.356106,-17.469095,57
11.207293,-18.099274,58
10.90716,-18.554338,59
10.7074,-19.207857,60
10.309613,-19.621485,61
9.921091,-20.28958,62
9.665731,-20.288666,63
15.498161,-1.1809945,64
15.158134,-1.534505,65
15.132365,-2.0539923,66
14.766279,-2.577717,67
14.712878,-3.328445,68
14.478351,-4.177688,69
14.447225,-4.7610183,70
14.318746,-5.4602094,71
14.174521,-6.2907863,72
14.028568,-6.732003,73
13.8671255,-7.535621,74
13.766678,-7.9887366,75
13.533565,-8.881518,76
13.248297,-9.648947,77
13.023707,-10.129366,78
12.642699,-10.945048,79
12.348793,-11.502175,80
12.250225,-12.076931,81
12.035495,-12.746423,82
11.565887,-13.515024,83
11.30855,-14.181607,84
11.144535,-14.818417,85
11.177235,-15.306046,86
10.69522,-15.856395,87
10.701109,-16.521975,88
10.749948,-17.215054,89
10.407689,-17.861938,90
10.176994,-18.356466,91
9.959184,-18.948929,92
9.619838,-19.574816,93
9.284429,-20.148693,94
9.044077,-20.550755,95
14.750271,-0.9746612,96
14.734684,-1.2956994,97
14.377706,-1.6562982,98
14.078839,-2.405335,99
14.023535,-2.9661164,100
13.85759,-3.7551975,101
13.757841,-4.638957,102
13.509258,-5.421015,103
13.492213,-6.0326114,104
13.324938,-6.7426553,105
13.124926,-7.2995377,106
13.201345,-8.074633,107
12.858189,-8.822288,108
12.430558,-9.410606,109
12.267443,-9.882589,110
11.982843,-10.82651,111
11.608181,-11.3648615,112
11.47429,-11.977518,113
11.182949,-12.659843,114
10.798055,-13.364956,115
10.772701,-13.926351,116
10.378634,-14.627987,117
10.292,-15.26367,118
10.289949,-15.854303,119
9.903538,-16.464909,120
9.9422,-17.01566,121
9.595172,-17.635317,122
9.424726,-18.272945,123
9.160692,-18.830736,124
8.935863,-19.346212,125
8.549254,-20.011726,126
8.4665985,-20.22915,127
13.8598585,-0.6807976,128
14.096577,-0.8892265,129
13.790869,-1.5450118,130
13.285936,-2.1982553,131
13.501758,-2.7698674,132
13.280339,-3.5846753,133
13.224177,-4.31951,134
13.072836,-5.1008344,135
12.771506,-5.497228,136
12.56809,-6.295245,137
12.519566,-7.1167855,138
12.418779,-7.8703327,139
12.096279,-8.657934,140
